"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trial_id","trialtype","structure","ans","node","node2","node3","pgroup","include"
"63","1hyrlfl88y",0,"10%","50%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","1_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"64","1hyrlfl88y",0,"10%","70%","80%","50%","cook",1,0,1,1,"The main dish was on the menu","3_d5","d5","disjunctive",1,"A","A","A=1","3",TRUE
"65","1j4dlwaw1l",0,"10%","50%","80%","50%","cook",1,0,0,0,"The dessert was not on the menu","1_c3","c3","conjunctive",6,"B","B","B=0","1",TRUE
"66","1j4dlwaw1l",0,"10%","50%","80%","50%","cook",0,1,1,1,"The person wanted to eat the dessert","1_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"67","1j4dlwaw1l",0,"50%","10%","50%","80%","group",1,1,1,0,"The second student had had a good morning","2_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"68","1j4dlwaw1l",0,"10%","70%","80%","50%","cook",1,0,1,1,"The main dish was on the menu","3_d5","d5","disjunctive",1,"A","A","A=1","3",TRUE
"69","1j4dlwaw1l",0,"10%","70%","80%","50%","cook",0,0,0,1,"The main dish was not on the menu","3_d1","d1","disjunctive",2,"A","A","A=0","3",TRUE
"70","1npbblglq9",0,"50%","10%","50%","80%","cook",0,1,0,1,"The main dish was not on the menu","2_d2","d2","disjunctive",2,"A","A","A=0","2",TRUE
"71","1npbblglq9",0,"50%","10%","50%","80%","job",0,0,0,0,"The presented did not present Feature B","2_c1","c1","conjunctive",6,"B","B","B=0","2",TRUE
"72","1npbblglq9",0,"10%","50%","80%","50%","cook",0,1,1,1,"The dessert was on the menu","1_d3","d3","disjunctive",5,"B","B","B=1","1",TRUE
"73","1npbblglq9",0,"10%","70%","80%","50%","group",0,0,0,1,"The second student did not attend","3_d1","d1","disjunctive",6,"B","B","B=0","3",TRUE
"74","1npbblglq9",0,"10%","50%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","1_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"75","1npbblglq9",0,"50%","10%","50%","80%","job",1,1,1,1,"The files underlying Feature B were fine","2_d7","d7","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"76","1sy6o3dz7m",0,"50%","10%","50%","80%","cook",1,0,1,1,"The person wanted to eat the main dish","2_d5","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"77","1sy6o3dz7m",0,"50%","10%","50%","80%","job",1,1,0,1,"The files underlying Feature B were corrupted","2_d6","d6","disjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE
"78","1sy6o3dz7m",0,"10%","70%","80%","50%","group",1,0,0,1,"The second student did not attend","3_d4","d4","disjunctive",6,"B","B","B=0","3",TRUE
"79","1sy6o3dz7m",0,"10%","70%","80%","50%","group",0,0,0,0,"The second student did not attend","3_c1","c1","conjunctive",6,"B","B","B=0","3",TRUE
"80","1sy6o3dz7m",0,"50%","10%","50%","80%","cook",1,1,1,0,"The dessert was on the menu","2_c5","c5","conjunctive",5,"B","B","B=1","2",TRUE
"81","1sy6o3dz7m",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","3_d7","d7","disjunctive",1,"A","A","A=1","3",TRUE
"82","1sy6o3dz7m",0,"10%","50%","80%","50%","cook",0,0,0,1,"The dessert was not on the menu","1_d1","d1","disjunctive",6,"B","B","B=0","1",TRUE
"83","1t3tecr78z",0,"10%","50%","80%","50%","job",1,1,0,0,"The files underlying Feature B were fine","1_c4","c4","conjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"84","1t3tecr78z",0,"10%","50%","80%","50%","cook",1,0,0,0,"The person did not want to eat the main dish","1_c3","c3","conjunctive",4,"Au","Au=0","Au=0","1",TRUE
"85","1t3tecr78z",0,"10%","70%","80%","50%","job",0,1,1,1,"The files underlying Feature B were fine","3_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"86","1t3tecr78z",0,"10%","50%","80%","50%","group",1,1,1,0,"The first student attended","1_c5","c5","conjunctive",1,"A","A","A=1","1",TRUE
"87","1t4dhkxhwz",0,"10%","70%","80%","50%","job",1,1,1,0,"The files underlying Feature A were fine","3_c5","c5","conjunctive",3,"Au","Au=1","Au=1","3",TRUE
"88","1t4dhkxhwz",0,"50%","10%","50%","80%","group",1,0,1,1,"The first student attended","2_d5","d5","disjunctive",1,"A","A","A=1","2",TRUE
"89","1t4dhkxhwz",0,"50%","10%","50%","80%","group",0,1,0,0,"The second student attended","2_c2","c2","conjunctive",5,"B","B","B=1","2",TRUE
"90","1t4dhkxhwz",0,"10%","50%","80%","50%","group",0,1,0,1,"The second student had had a good morning","1_d2","d2","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"91","1t4dhkxhwz",0,"10%","50%","80%","50%","group",0,0,0,0,"The second student did not attend","1_c1","c1","conjunctive",6,"B","B","B=0","1",TRUE
"92","1t4dhkxhwz",0,"10%","70%","80%","50%","group",1,0,0,0,"The first student had had a good morning","3_c3","c3","conjunctive",3,"Au","Au=1","Au=1","3",TRUE
"93","1v1yfyk648",0,"10%","70%","80%","50%","job",0,1,0,1,"The files underlying Feature B were corrupted","3_d2","d2","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"94","1v1yfyk648",0,"10%","50%","80%","50%","job",1,0,1,1,"The files underlying Feature B were corrupted","1_d5","d5","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"95","1v1yfyk648",0,"10%","70%","80%","50%","job",0,1,0,0,"The presenter did not present Feature A","3_c2","c2","conjunctive",2,"A","A","A=0","3",TRUE
"96","1v1yfyk648",0,"50%","10%","50%","80%","cook",1,1,1,0,"The person wanted to eat the dessert","2_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"97","1v1yfyk648",0,"50%","10%","50%","80%","job",1,0,0,0,"The presented did not present Feature B","2_c3","c3","conjunctive",6,"B","B","B=0","2",TRUE
"98","20r5xs4280",0,"10%","50%","80%","50%","cook",1,1,0,0,"The main dish was on the menu","1_c4","c4","conjunctive",1,"A","A","A=1","1",TRUE
"99","20r5xs4280",0,"10%","50%","80%","50%","group",1,0,0,1,"The first student attended","1_d4","d4","disjunctive",1,"A","A","A=1","1",TRUE
"100","20r5xs4280",0,"10%","50%","80%","50%","cook",0,1,0,1,"The main dish was not on the menu","1_d2","d2","disjunctive",2,"A","A","A=0","1",TRUE
"101","20r5xs4280",0,"10%","50%","80%","50%","cook",1,0,1,1,"The main dish was on the menu","1_d5","d5","disjunctive",1,"A","A","A=1","1",TRUE
"102","20r5xs4280",0,"10%","70%","80%","50%","group",1,1,1,0,"The second student attended","3_c5","c5","conjunctive",5,"B","B","B=1","3",TRUE
"103","20r5xs4280",0,"10%","50%","80%","50%","group",0,0,0,1,"The first student did not attend","1_d1","d1","disjunctive",2,"A","A","A=0","1",TRUE
"104","20rjsppbxb",0,"10%","50%","80%","50%","cook",1,1,0,1,"The person did not want to eat the dessert","1_d6","d6","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"105","20rjsppbxb",0,"10%","70%","80%","50%","group",0,0,0,0,"The first student did not attend","3_c1","c1","conjunctive",2,"A","A","A=0","3",TRUE
"106","20rjsppbxb",0,"10%","70%","80%","50%","group",0,1,1,1,"The second student had had a good morning","3_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"107","20rjsppbxb",0,"50%","10%","50%","80%","cook",0,0,0,1,"The dessert was not on the menu","2_d1","d1","disjunctive",6,"B","B","B=0","2",TRUE
"108","2cxyyc0tl5",0,"10%","50%","80%","50%","job",1,0,0,0,"The presenter did not present Feature A","1_c3","c3","conjunctive",2,"A","A","A=0","1",FALSE
"109","2cxyyc0tl5",0,"10%","50%","80%","50%","cook",1,1,0,1,"The main dish was not on the menu","1_d6","d6","disjunctive",2,"A","A","A=0","1",FALSE
"110","2cxyyc0tl5",0,"10%","50%","80%","50%","cook",1,0,0,1,"The main dish was not on the menu","1_d4","d4","disjunctive",2,"A","A","A=0","1",FALSE
"111","2cxyyc0tl5",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was not on the menu","3_d7","d7","disjunctive",2,"A","A","A=0","3",FALSE
"112","2cxyyc0tl5",0,"10%","50%","80%","50%","job",1,1,0,0,"The presenter did not present Feature A","1_c4","c4","conjunctive",2,"A","A","A=0","1",FALSE
"113","2cxyyc0tl5",0,"10%","50%","80%","50%","group",0,1,0,0,"The first student did not attend","1_c2","c2","conjunctive",2,"A","A","A=0","1",TRUE
"114","2equ5415hf",0,"10%","70%","80%","50%","cook",0,0,0,1,"The person wanted to eat the main dish","3_d1","d1","disjunctive",3,"Au","Au=1","Au=1","3",TRUE
"115","2equ5415hf",0,"50%","10%","50%","80%","job",1,1,1,1,"The files underlying Feature A were fine","2_d7","d7","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"116","2equ5415hf",0,"10%","70%","80%","50%","cook",1,1,1,0,"The main dish was on the menu","3_c5","c5","conjunctive",1,"A","A","A=1","3",TRUE
"117","2equ5415hf",0,"50%","10%","50%","80%","job",1,0,1,1,"The files underlying Feature A were fine","2_d5","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"118","2equ5415hf",0,"10%","50%","80%","50%","group",1,1,0,0,"The second student had not had a good morning","1_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"119","2nyyupkto6",0,"10%","70%","80%","50%","group",0,1,0,0,"The first student did not attend","3_c2","c2","conjunctive",2,"A","A","A=0","3",TRUE
"120","2nyyupkto6",0,"50%","10%","50%","80%","group",0,1,1,1,"The second student had had a good morning","2_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"121","2nyyupkto6",0,"10%","50%","80%","50%","cook",0,0,0,1,"The person wanted to eat the main dish","1_d1","d1","disjunctive",3,"Au","Au=1","Au=1","1",TRUE
"122","2nyyupkto6",0,"10%","70%","80%","50%","cook",1,1,1,0,"The person wanted to eat the main dish","3_c5","c5","conjunctive",3,"Au","Au=1","Au=1","3",TRUE
"123","2nyyupkto6",0,"50%","10%","50%","80%","group",1,1,1,1,"The second student had had a good morning","2_d7","d7","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"124","2nyyupkto6",0,"10%","70%","80%","50%","cook",1,0,1,1,"The person wanted to eat the main dish","3_d5","d5","disjunctive",3,"Au","Au=1","Au=1","3",TRUE
"125","2s547kluso",0,"50%","10%","50%","80%","job",1,1,0,1,"The files underlying Feature A were fine","2_d6","d6","disjunctive",3,"Au","Au=1","Au=1","2",TRUE
"126","2s547kluso",0,"50%","10%","50%","80%","job",1,0,0,1,"The presented did not present Feature B","2_d4","d4","disjunctive",6,"B","B","B=0","2",TRUE
"127","2s547kluso",0,"50%","10%","50%","80%","cook",1,0,0,0,"The dessert was on the menu","2_c3","c3","conjunctive",5,"B","B","B=1","2",FALSE
"128","2s547kluso",0,"10%","50%","80%","50%","group",0,1,0,1,"The first student did not attend","1_d2","d2","disjunctive",2,"A","A","A=0","1",TRUE
"129","2s547kluso",0,"10%","50%","80%","50%","group",1,1,0,0,"The first student had not had a good morning","1_c4","c4","conjunctive",4,"Au","Au=0","Au=0","1",TRUE
"130","2s547kluso",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","3_d7","d7","disjunctive",1,"A","A","A=1","3",TRUE
"131","2s547kluso",0,"10%","50%","80%","50%","cook",0,0,0,0,"The dessert was not on the menu","1_c1","c1","conjunctive",6,"B","B","B=0","1",TRUE
"132","2s547kluso",0,"10%","70%","80%","50%","cook",0,0,0,1,"The dessert was not on the menu","3_d1","d1","disjunctive",6,"B","B","B=0","3",TRUE
"133","2y8x2svl2a",0,"10%","70%","80%","50%","group",1,1,0,0,"The second student had not had a good morning","3_c4","c4","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE
"134","2y8x2svl2a",0,"10%","70%","80%","50%","cook",0,1,0,0,"The person wanted to eat the main dish","3_c2","c2","conjunctive",3,"Au","Au=1","Au=1","3",TRUE
"135","2y8x2svl2a",0,"10%","50%","80%","50%","group",1,0,0,1,"The second student had not had a good morning","1_d4","d4","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"136","2y8x2svl2a",0,"50%","10%","50%","80%","group",1,1,1,0,"The first student had had a good morning","2_c5","c5","conjunctive",3,"Au","Au=1","Au=1","2",TRUE
"137","2y8x2svl2a",0,"10%","50%","80%","50%","group",1,0,1,1,"The first student had had a good morning","1_d5","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE
"138","2y8x2svl2a",0,"10%","70%","80%","50%","group",1,0,0,0,"The first student had not had a good morning","3_c3","c3","conjunctive",4,"Au","Au=0","Au=0","3",TRUE
"139","2y8x2svl2a",0,"10%","50%","80%","50%","job",1,1,0,1,"The files underlying Feature B were corrupted","1_d6","d6","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"140","2y8x2svl2a",0,"10%","50%","80%","50%","group",0,1,1,1,"The second student had had a good morning","1_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"141","2yk4v31j0w",0,"50%","10%","50%","80%","group",0,0,0,0,"The first student had not had a good morning","2_c1","c1","conjunctive",4,"Au","Au=0","Au=0","2",TRUE
"142","2yk4v31j0w",0,"10%","70%","80%","50%","job",0,1,1,1,"The files underlying Feature B were fine","3_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"143","2yk4v31j0w",0,"50%","10%","50%","80%","job",1,0,0,0,"The presented did not present Feature B","2_c3","c3","conjunctive",6,"B","B","B=0","2",TRUE
"144","2yk4v31j0w",0,"10%","50%","80%","50%","cook",1,0,1,1,"The person wanted to eat the main dish","1_d5","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE
"145","2yn9f7b8c7",0,"50%","10%","50%","80%","job",1,1,0,1,"The files underlying Feature A were corrupted","2_d6","d6","disjunctive",4,"Au","Au=0","Au=0","2",TRUE
"146","2yn9f7b8c7",0,"10%","50%","80%","50%","job",0,0,0,1,"The files underlying Feature B were corrupted","1_d1","d1","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"147","2yn9f7b8c7",0,"10%","50%","80%","50%","cook",1,0,0,0,"The person wanted to eat the dessert","1_c3","c3","conjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE
"148","2yn9f7b8c7",0,"10%","70%","80%","50%","job",0,1,0,0,"The presenter did not present Feature A","3_c2","c2","conjunctive",2,"A","A","A=0","3",TRUE
"149","2yn9f7b8c7",0,"10%","70%","80%","50%","cook",1,1,1,0,"The person wanted to eat the dessert","3_c5","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE
"150","2yn9f7b8c7",0,"10%","50%","80%","50%","cook",0,0,0,0,"The main dish was not on the menu","1_c1","c1","conjunctive",2,"A","A","A=0","1",TRUE
"151","3d20df3aga",0,"10%","70%","80%","50%","cook",0,0,0,1,"The dessert was not on the menu","3_d1","d1","disjunctive",6,"B","B","B=0","3",TRUE
"152","3d20df3aga",0,"50%","10%","50%","80%","job",0,1,1,1,"The files underlying Feature B were fine","2_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"153","3d20df3aga",0,"10%","50%","80%","50%","group",1,1,1,0,"The first student had had a good morning","1_c5","c5","conjunctive",3,"Au","Au=1","Au=1","1",TRUE
"154","3gm9ke3sgv",0,"10%","50%","80%","50%","group",0,0,0,0,"The second student did not attend","1_c1","c1","conjunctive",6,"B","B","B=0","1",TRUE
"155","3gm9ke3sgv",0,"50%","10%","50%","80%","job",1,1,0,0,"The files underlying Feature A were corrupted","2_c4","c4","conjunctive",4,"Au","Au=0","Au=0","2",TRUE
"156","3gm9ke3sgv",0,"10%","50%","80%","50%","job",1,1,1,1,"The files underlying Feature A were fine","1_d7","d7","disjunctive",3,"Au","Au=1","Au=1","1",TRUE
"157","3gm9ke3sgv",0,"10%","70%","80%","50%","job",1,0,0,0,"The presented did not present Feature B","3_c3","c3","conjunctive",6,"B","B","B=0","3",TRUE
"158","3gm9ke3sgv",0,"50%","10%","50%","80%","job",0,1,0,1,"The presenter did not present Feature A","2_d2","d2","disjunctive",2,"A","A","A=0","2",TRUE
"159","3gm9ke3sgv",0,"50%","10%","50%","80%","job",0,1,1,1,"The files underlying Feature B were fine","2_d3","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE
"160","3u1tof89rw",0,"10%","50%","80%","50%","cook",0,0,0,1,"The person did not want to eat the dessert","1_d1","d1","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE
"161","3u1tof89rw",0,"50%","10%","50%","80%","cook",0,1,0,0,"The main dish was not on the menu","2_c2","c2","conjunctive",2,"A","A","A=0","2",TRUE
"162","3u1tof89rw",0,"50%","10%","50%","80%","job",1,1,1,0,"The files underlying Feature A were fine","2_c5","c5","conjunctive",3,"Au","Au=1","Au=1","2",TRUE
