"","subject_id","trial_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","structure","ans","node","node2","node3","pgroup","include","sampled_variable","Observed"
"15","06j6drlj5j","1_d1",1,"80%","50%","10%","50%","group",0,0,0,1,"The second student did not attend","d1","disjunctive",2,"A","A","A=0","1",TRUE,"A=0","TRUE"
"16","06j6drlj5j","1_d2",1,"80%","50%","10%","50%","job",1,0,0,1,"The presented did not present Feature B","d2","disjunctive",2,"A","A","A=0","1",FALSE,"Bu=0","TRUE"
"17","06j6drlj5j","1_d4",1,"80%","50%","10%","50%","group",0,1,0,1,"The second student attended","d4","disjunctive",1,"A","A","A=1","1",FALSE,"Au=0","TRUE"
"18","06j6drlj5j","1_d7",0,"10%","50%","80%","50%","job",1,1,1,1,"The files underlying Feature B were fine","d7","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"Au=0","FALSE"
"19","06j6drlj5j","3_c1",0,"10%","70%","80%","50%","job",0,0,0,0,"The files underlying Feature A were corrupted","c1","conjunctive",4,"Au","Au=0","Au=0","3",TRUE,"A=1","FALSE"
"20","06j6drlj5j","3_c2",0,"10%","70%","80%","50%","group",0,1,0,0,"The first student did not attend","c2","conjunctive",2,"A","A","A=0","3",TRUE,"B=1","TRUE"
"21","06j6drlj5j","3_c5",0,"10%","70%","80%","50%","job",1,1,1,0,"The files underlying Feature B were fine","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE,"Bu=1","FALSE"
"22","06j6drlj5j","3_d3",0,"10%","70%","80%","50%","group",0,1,1,1,"The second student attended","d3","disjunctive",5,"B","B","B=1","3",TRUE,"B=1","TRUE"
"23","06j6drlj5j","3_d5",0,"10%","70%","80%","50%","cook",1,0,1,1,"The person wanted to eat the main dish","d5","disjunctive",3,"Au","Au=1","Au=1","3",TRUE,"Au=1","FALSE"
"24","06j6drlj5j","3_d6",1,"80%","50%","10%","70%","job",1,1,0,1,"The files underlying Feature A were corrupted","d6","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"B=1","FALSE"
"25","072j8b878l","1_c3",0,"10%","50%","80%","50%","job",1,0,0,0,"The presented did not present Feature B","c3","conjunctive",6,"B","B","B=0","1",TRUE,"Bu=1","TRUE"
"26","072j8b878l","1_c5",0,"10%","50%","80%","50%","cook",1,1,1,0,"The person wanted to eat the main dish","c5","conjunctive",3,"Au","Au=1","Au=1","1",TRUE,"Bu=1","FALSE"
"27","072j8b878l","1_d2",0,"10%","50%","80%","50%","cook",0,1,0,1,"The person did not want to eat the dessert","d2","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"Bu=0","FALSE"
"28","072j8b878l","1_d6",1,"80%","50%","10%","50%","cook",1,1,0,1,"The person did not want to eat the main dish","d6","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"Au=0","FALSE"
"29","072j8b878l","2_d1",1,"50%","80%","50%","10%","job",0,0,0,1,"The presenter did not present Feature A","d1","disjunctive",6,"B","B","B=0","2",TRUE,"Bu=1","TRUE"
"30","072j8b878l","2_d2",1,"50%","80%","50%","10%","group",1,0,0,1,"The first student had not had a good morning","d2","disjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"B=1","FALSE"
"31","072j8b878l","2_d5",1,"50%","80%","50%","10%","group",0,1,1,1,"The second student had had a good morning","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE,"Bu=1","FALSE"
"32","072j8b878l","3_c1",0,"10%","70%","80%","50%","job",0,0,0,0,"The presenter did not present Feature A","c1","conjunctive",2,"A","A","A=0","3",TRUE,"B=0","TRUE"
"33","072j8b878l","3_c3",1,"80%","50%","10%","70%","group",0,1,0,0,"The second student had not had a good morning","c3","conjunctive",4,"Au","Au=0","Au=0","3",TRUE,"Au=1","FALSE"
"34","072j8b878l","3_c4",0,"10%","70%","80%","50%","cook",1,1,0,0,"The person did not want to eat the main dish","c4","conjunctive",4,"Au","Au=0","Au=0","3",TRUE,"B=1","FALSE"
"35","072j8b878l","3_d5",0,"10%","70%","80%","50%","group",1,0,1,1,"The first student had had a good morning","d5","disjunctive",3,"Au","Au=1","Au=1","3",TRUE,"Bu=0","FALSE"
"36","072j8b878l","3_d7",1,"80%","50%","10%","70%","cook",1,1,1,1,"The person wanted to eat the main dish","d7","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE,"A=1","FALSE"
"37","081821707n","1_c1",1,"80%","50%","10%","50%","group",0,0,0,0,"The first student did not attend","c1","conjunctive",6,"B","B","B=0","1",TRUE,"A=0","TRUE"
"38","081821707n","1_c2",0,"10%","50%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","c2","conjunctive",2,"A","A","A=0","1",TRUE,"Bu=1","TRUE"
"39","081821707n","1_c3",0,"10%","50%","80%","50%","job",1,0,0,0,"The presented did not present Feature B","c3","conjunctive",6,"B","B","B=0","1",TRUE,"A=1","TRUE"
"40","081821707n","1_c4",1,"80%","50%","10%","50%","cook",1,1,0,0,"The person did not want to eat the main dish","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"B=1","FALSE"
"41","081821707n","1_d3",0,"10%","50%","80%","50%","cook",0,1,1,1,"The person wanted to eat the dessert","d3","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"Bu=1","FALSE"
"42","081821707n","1_d4",1,"80%","50%","10%","50%","cook",0,1,0,1,"The main dish was not on the menu","d4","disjunctive",6,"B","B","B=0","1",FALSE,"Au=1","TRUE"
"43","081821707n","2_c5",0,"50%","10%","50%","80%","group",1,1,1,0,"The first student had had a good morning","c5","conjunctive",3,"Au","Au=1","Au=1","2",TRUE,"Au=1","FALSE"
"44","081821707n","2_d6",1,"50%","80%","50%","10%","group",1,1,0,1,"The second student had not had a good morning","d6","disjunctive",4,"Au","Au=0","Au=0","2",TRUE,"B=1","FALSE"
"45","081821707n","3_d1",1,"80%","50%","10%","70%","job",0,0,0,1,"The files underlying Feature A were corrupted","d1","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Bu=0","FALSE"
"46","081821707n","3_d2",1,"80%","50%","10%","70%","job",1,0,0,1,"The files underlying Feature B were corrupted","d2","disjunctive",4,"Au","Au=0","Au=0","3",TRUE,"Bu=0","FALSE"
"47","081821707n","3_d3",1,"80%","50%","10%","70%","group",1,0,1,1,"The first student had had a good morning","d3","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE,"Au=1","FALSE"
"48","081821707n","3_d7",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","d7","disjunctive",1,"A","A","A=1","3",TRUE,"Au=0","TRUE"
"49","09wv6my5k8","1_c1",1,"80%","50%","10%","50%","group",0,0,0,0,"The first student did not attend","c1","conjunctive",6,"B","B","B=0","1",TRUE,"Au=1","TRUE"
"50","09wv6my5k8","1_c2",1,"80%","50%","10%","50%","job",1,0,0,0,"The presented did not present Feature B","c2","conjunctive",2,"A","A","A=0","1",FALSE,"B=1","TRUE"
"51","09wv6my5k8","1_c5",1,"80%","50%","10%","50%","job",1,1,1,0,"The presented presented Feature B","c5","conjunctive",1,"A","A","A=1","1",TRUE,"Bu=0","TRUE"
"52","09wv6my5k8","1_d1",0,"10%","50%","80%","50%","job",0,0,0,1,"The files underlying Feature B were corrupted","d1","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"B=0","FALSE"
"53","09wv6my5k8","1_d6",1,"80%","50%","10%","50%","group",1,1,0,1,"The second student had not had a good morning","d6","disjunctive",4,"Au","Au=0","Au=0","1",TRUE,"Bu=1","FALSE"
"54","09wv6my5k8","2_c3",1,"50%","80%","50%","10%","cook",0,1,0,0,"The person wanted to eat the main dish","c3","conjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"Au=1","FALSE"
"55","09wv6my5k8","2_c4",0,"50%","10%","50%","80%","cook",1,1,0,0,"The person did not want to eat the main dish","c4","conjunctive",4,"Au","Au=0","Au=0","2",TRUE,"B=1","FALSE"
"56","09wv6my5k8","2_d2",1,"50%","80%","50%","10%","job",1,0,0,1,"The files underlying Feature A were corrupted","d2","disjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"A=0","FALSE"
"57","09wv6my5k8","2_d3",0,"50%","10%","50%","80%","group",0,1,1,1,"The second student had had a good morning","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"B=1","FALSE"
"58","09wv6my5k8","3_d2",0,"10%","70%","80%","50%","job",0,1,0,1,"The files underlying Feature B were corrupted","d2","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Bu=0","FALSE"
"59","09wv6my5k8","3_d5",0,"10%","70%","80%","50%","group",1,0,1,1,"The first student attended","d5","disjunctive",1,"A","A","A=1","3",TRUE,"Au=1","TRUE"
"60","09wv6my5k8","3_d7",1,"80%","50%","10%","70%","group",1,1,1,1,"The second student attended","d7","disjunctive",1,"A","A","A=1","3",TRUE,"Bu=0","TRUE"
"61","0bdvkdpyge","1_c2",0,"10%","50%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","c2","conjunctive",2,"A","A","A=0","1",TRUE,"A=0","TRUE"
"62","0bdvkdpyge","1_c4",0,"10%","50%","80%","50%","group",1,1,0,0,"The second student had not had a good morning","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"Bu=0","FALSE"
"63","0bdvkdpyge","1_c5",1,"80%","50%","10%","50%","group",1,1,1,0,"The first student had had a good morning","c5","conjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"Au=0","FALSE"
"64","0bdvkdpyge","1_d4",0,"10%","50%","80%","50%","group",1,0,0,1,"The first student attended","d4","disjunctive",1,"A","A","A=1","1",TRUE,"Au=0","TRUE"
"65","0bdvkdpyge","2_c1",1,"50%","80%","50%","10%","job",0,0,0,0,"The files underlying Feature B were corrupted","c1","conjunctive",4,"Au","Au=0","Au=0","2",TRUE,"Au=0","FALSE"
"66","0bdvkdpyge","2_d3",0,"50%","10%","50%","80%","job",0,1,1,1,"The presenter did not present Feature A","d3","disjunctive",2,"A","A","A=0","2",TRUE,"B=1","TRUE"
"67","0bdvkdpyge","2_d4",1,"50%","80%","50%","10%","group",0,1,0,1,"The first student did not attend","d4","disjunctive",6,"B","B","B=0","2",FALSE,"B=0","TRUE"
"68","0bdvkdpyge","2_d6",1,"50%","80%","50%","10%","group",1,1,0,1,"The first student had not had a good morning","d6","disjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"Bu=0","FALSE"
"69","0bdvkdpyge","2_d7",1,"50%","80%","50%","10%","job",1,1,1,1,"The presenter presented Feature A","d7","disjunctive",5,"B","B","B=1","2",TRUE,"B=1","TRUE"
"70","0bdvkdpyge","3_c3",0,"10%","70%","80%","50%","group",1,0,0,0,"The first student had had a good morning","c3","conjunctive",3,"Au","Au=1","Au=1","3",TRUE,"B=0","FALSE"
"71","0bdvkdpyge","3_d1",0,"10%","70%","80%","50%","job",0,0,0,1,"The presented did not present Feature B","d1","disjunctive",6,"B","B","B=0","3",TRUE,"B=0","TRUE"
"72","0bdvkdpyge","3_d3",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish was on the menu","d3","disjunctive",5,"B","B","B=1","3",FALSE,"B=0","TRUE"
"73","0c0877ag2a","1_d2",0,"10%","50%","80%","50%","cook",0,1,0,1,"The main dish was on the menu","d2","disjunctive",1,"A","A","A=1","1",FALSE,"Bu=0","TRUE"
"74","0c0877ag2a","1_d5",1,"80%","50%","10%","50%","group",0,1,1,1,"The second student attended","d5","disjunctive",1,"A","A","A=1","1",FALSE,"A=1","TRUE"
"75","0c0877ag2a","1_d6",0,"10%","50%","80%","50%","cook",1,1,0,1,"The person did not want to eat the dessert","d6","disjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"Bu=0","FALSE"
"76","0c0877ag2a","2_c1",0,"50%","10%","50%","80%","group",0,0,0,0,"The first student did not attend","c1","conjunctive",2,"A","A","A=0","2",TRUE,"B=0","TRUE"
"77","0c0877ag2a","2_d3",1,"50%","80%","50%","10%","cook",1,0,1,1,"The person wanted to eat the main dish","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"Bu=1","FALSE"
"78","0c0877ag2a","3_c2",0,"10%","70%","80%","50%","cook",0,1,0,0,"The main dish was on the menu","c2","conjunctive",1,"A","A","A=1","3",FALSE,"A=0","TRUE"
"82","0c0877ag2a","3_c4",1,"80%","50%","10%","70%","group",1,1,0,0,"The first student attended","c4","conjunctive",5,"B","B","B=1","3",TRUE,"Bu=0","TRUE"
"83","0c0877ag2a","3_c5",1,"80%","50%","10%","70%","job",1,1,1,0,"The presenter presented Feature A","c5","conjunctive",5,"B","B","B=1","3",TRUE,"Bu=1","TRUE"
"84","0c0877ag2a","3_d1",1,"80%","50%","10%","70%","job",0,0,0,1,"The presenter did not present Feature A","d1","disjunctive",6,"B","B","B=0","3",TRUE,"B=0","TRUE"
"85","0c0877ag2a","3_d2",1,"80%","50%","10%","70%","job",1,0,0,1,"The files underlying Feature A were corrupted","d2","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Au=0","FALSE"
"86","0c0877ag2a","3_d7",0,"10%","70%","80%","50%","cook",1,1,1,1,"The main dish was on the menu","d7","disjunctive",1,"A","A","A=1","3",TRUE,"Au=1","TRUE"
"87","0jfdc0w57x","1_c4",1,"80%","50%","10%","50%","cook",1,1,0,0,"The person did not want to eat the main dish","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"A=1","FALSE"
"88","0jfdc0w57x","1_d3",1,"80%","50%","10%","50%","group",1,0,1,1,"The first student had had a good morning","d3","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"Bu=1","FALSE"
"89","0jfdc0w57x","1_d7",1,"80%","50%","10%","50%","group",1,1,1,1,"The second student attended","d7","disjunctive",1,"A","A","A=1","1",TRUE,"Au=1","TRUE"
"90","0jfdc0w57x","2_d2",1,"50%","80%","50%","10%","group",1,0,0,1,"The second student did not attend","d2","disjunctive",2,"A","A","A=0","2",FALSE,"Au=0","TRUE"
"91","0jfdc0w57x","2_d5",1,"50%","80%","50%","10%","cook",0,1,1,1,"The main dish was not on the menu","d5","disjunctive",6,"B","B","B=0","2",FALSE,"Au=1","TRUE"
"92","0jfdc0w57x","3_c1",1,"80%","50%","10%","70%","cook",0,0,0,0,"The main dish was not on the menu","c1","conjunctive",6,"B","B","B=0","3",TRUE,"A=0","TRUE"
"93","0jfdc0w57x","3_c3",0,"10%","70%","80%","50%","group",1,0,0,0,"The second student did not attend","c3","conjunctive",6,"B","B","B=0","3",TRUE,"Bu=0","TRUE"
"94","0jfdc0w57x","3_c3",0,"10%","70%","80%","50%","group",1,0,0,0,"The second student did not attend","c3","conjunctive",6,"B","B","B=0","3",TRUE,"Au=0","TRUE"
"97","0jfdc0w57x","3_c5",1,"80%","50%","10%","70%","cook",1,1,1,0,"The main dish was on the menu","c5","conjunctive",5,"B","B","B=1","3",TRUE,"Bu=1","TRUE"
"98","0jfdc0w57x","3_d1",1,"80%","50%","10%","70%","job",0,0,0,1,"The files underlying Feature A were corrupted","d1","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"B=0","FALSE"
"99","0jfdc0w57x","3_d4",1,"80%","50%","10%","70%","cook",0,1,0,1,"The main dish was not on the menu","d4","disjunctive",6,"B","B","B=0","3",FALSE,"Au=0","TRUE"
"100","0jfdc0w57x","3_d6",0,"10%","70%","80%","50%","cook",1,1,0,1,"The person did not want to eat the main dish","d6","disjunctive",4,"Au","Au=0","Au=0","3",TRUE,"Bu=0","FALSE"
"101","0namxa5nz4","1_c1",0,"10%","50%","80%","50%","cook",0,0,0,0,"The main dish was not on the menu","c1","conjunctive",2,"A","A","A=0","1",TRUE,"A=0","TRUE"
"102","0namxa5nz4","1_c2",0,"10%","50%","80%","50%","job",0,1,0,0,"The files underlying Feature B were corrupted","c2","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"B=1","FALSE"
"103","0namxa5nz4","2_c5",0,"50%","10%","50%","80%","job",1,1,1,0,"The files underlying Feature B were fine","c5","conjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"Au=1","FALSE"
"104","0namxa5nz4","2_d1",0,"50%","10%","50%","80%","job",0,0,0,1,"The presenter did not present Feature A","d1","disjunctive",2,"A","A","A=0","2",TRUE,"B=0","TRUE"
"105","0namxa5nz4","2_d2",1,"50%","80%","50%","10%","job",1,0,0,1,"The files underlying Feature A were corrupted","d2","disjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"Bu=0","FALSE"
"106","0namxa5nz4","2_d3",1,"50%","80%","50%","10%","job",1,0,1,1,"The files underlying Feature B were fine","d3","disjunctive",3,"Au","Au=1","Au=1","2",TRUE,"Bu=0","FALSE"
"107","0namxa5nz4","2_d4",1,"50%","80%","50%","10%","cook",0,1,0,1,"The person did not want to eat the dessert","d4","disjunctive",4,"Au","Au=0","Au=0","2",TRUE,"B=0","FALSE"
"108","0namxa5nz4","2_d7",1,"50%","80%","50%","10%","group",1,1,1,1,"The first student had had a good morning","d7","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"Au=1","FALSE"
"109","0namxa5nz4","3_c3",0,"10%","70%","80%","50%","group",1,0,0,0,"The second student had not had a good morning","c3","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"B=0","FALSE"
"110","0namxa5nz4","3_c4",0,"10%","70%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","c4","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"A=1","FALSE"
"111","0namxa5nz4","3_d5",1,"80%","50%","10%","70%","cook",0,1,1,1,"The main dish was on the menu","d5","disjunctive",5,"B","B","B=1","3",TRUE,"Bu=0","TRUE"
"112","0namxa5nz4","3_d6",1,"80%","50%","10%","70%","group",1,1,0,1,"The first student had not had a good morning","d6","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Au=0","FALSE"
"113","0v8gy7ctfg","1_c1",0,"10%","50%","80%","50%","group",0,0,0,0,"The first student did not attend","c1","conjunctive",2,"A","A","A=0","1",TRUE,"Au=0","TRUE"
"114","0v8gy7ctfg","1_c3",1,"80%","50%","10%","50%","group",0,1,0,0,"The first student did not attend","c3","conjunctive",6,"B","B","B=0","1",FALSE,"Au=0","TRUE"
"115","0v8gy7ctfg","1_c4",0,"10%","50%","80%","50%","job",1,1,0,0,"The files underlying Feature B were corrupted","c4","conjunctive",8,"Bu","Bu=0","Bu=0","1",TRUE,"B=1","FALSE"
"116","0v8gy7ctfg","1_c5",0,"10%","50%","80%","50%","group",1,1,1,0,"The first student had had a good morning","c5","conjunctive",3,"Au","Au=1","Au=1","1",TRUE,"Bu=1","FALSE"
"117","0v8gy7ctfg","1_d1",1,"80%","50%","10%","50%","cook",0,0,0,1,"The main dish was not on the menu","d1","disjunctive",6,"B","B","B=0","1",TRUE,"Au=0","TRUE"
"118","0v8gy7ctfg","1_d4",1,"80%","50%","10%","50%","job",0,1,0,1,"The files underlying Feature B were corrupted","d4","disjunctive",4,"Au","Au=0","Au=0","1",TRUE,"Au=0","FALSE"
"119","0v8gy7ctfg","1_d5",1,"80%","50%","10%","50%","group",0,1,1,1,"The second student had had a good morning","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE,"Bu=1","FALSE"
"120","0v8gy7ctfg","1_d7",1,"80%","50%","10%","50%","job",1,1,1,1,"The files underlying Feature A were fine","d7","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"A=1","FALSE"
"121","0v8gy7ctfg","2_c3",0,"50%","10%","50%","80%","job",1,0,0,0,"The files underlying Feature A were corrupted","c3","conjunctive",4,"Au","Au=0","Au=0","2",TRUE,"Au=0","FALSE"
"122","0v8gy7ctfg","3_d2",1,"80%","50%","10%","70%","cook",1,0,0,1,"The person did not want to eat the main dish","d2","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Bu=0","FALSE"
"123","0v8gy7ctfg","3_d3",1,"80%","50%","10%","70%","group",1,0,1,1,"The first student had had a good morning","d3","disjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE,"Bu=1","FALSE"
"124","0v8gy7ctfg","3_d6",0,"10%","70%","80%","50%","job",1,1,0,1,"The files underlying Feature A were corrupted","d6","disjunctive",4,"Au","Au=0","Au=0","3",TRUE,"Au=0","FALSE"
"125","0vz9trxbk3","1_d1",1,"80%","50%","10%","50%","cook",0,0,0,1,"The main dish was not on the menu","d1","disjunctive",6,"B","B","B=0","1",TRUE,"B=0","TRUE"
"126","0vz9trxbk3","1_d5",0,"10%","50%","80%","50%","job",1,0,1,1,"The files underlying Feature A were fine","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE,"B=0","FALSE"
"127","0vz9trxbk3","1_d7",1,"80%","50%","10%","50%","job",1,1,1,1,"The presenter presented Feature A","d7","disjunctive",5,"B","B","B=1","1",TRUE,"B=1","TRUE"
"128","0vz9trxbk3","2_c1",1,"50%","80%","50%","10%","cook",0,0,0,0,"The person did not want to eat the main dish","c1","conjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"B=0","FALSE"
"129","0vz9trxbk3","2_c3",0,"50%","10%","50%","80%","group",1,0,0,0,"The second student did not attend","c3","conjunctive",6,"B","B","B=0","2",TRUE,"Au=0","TRUE"
"130","0vz9trxbk3","2_c4",1,"50%","80%","50%","10%","group",1,1,0,0,"The first student had not had a good morning","c4","conjunctive",8,"Bu","Bu=0","Bu=0","2",TRUE,"Au=1","FALSE"
"131","0vz9trxbk3","2_d2",1,"50%","80%","50%","10%","cook",1,0,0,1,"The dessert was not on the menu","d2","disjunctive",2,"A","A","A=0","2",FALSE,"Bu=0","TRUE"
"132","0vz9trxbk3","2_d5",1,"50%","80%","50%","10%","group",0,1,1,1,"The second student had had a good morning","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE,"Au=1","FALSE"
"133","0vz9trxbk3","3_c3",1,"80%","50%","10%","70%","group",0,1,0,0,"The first student attended","c3","conjunctive",5,"B","B","B=1","3",TRUE,"Bu=1","TRUE"
"134","0vz9trxbk3","3_c5",1,"80%","50%","10%","70%","group",1,1,1,0,"The second student had had a good morning","c5","conjunctive",3,"Au","Au=1","Au=1","3",TRUE,"Bu=1","FALSE"
"135","0vz9trxbk3","3_d4",1,"80%","50%","10%","70%","cook",0,1,0,1,"The dessert was not on the menu","d4","disjunctive",2,"A","A","A=0","3",TRUE,"Au=1","TRUE"
"136","0vz9trxbk3","3_d6",1,"80%","50%","10%","70%","cook",1,1,0,1,"The dessert was not on the menu","d6","disjunctive",2,"A","A","A=0","3",FALSE,"Au=0","TRUE"
"137","1fjolergar","1_c2",0,"10%","50%","80%","50%","job",0,1,0,0,"The presented presented Feature B","c2","conjunctive",5,"B","B","B=1","1",TRUE,"Bu=0","TRUE"
"138","1fjolergar","1_c2",0,"10%","50%","80%","50%","job",0,1,0,0,"The presented presented Feature B","c2","conjunctive",5,"B","B","B=1","1",TRUE,"B=1","TRUE"
"141","1fjolergar","1_d6",0,"10%","50%","80%","50%","group",1,1,0,1,"The first student had not had a good morning","d6","disjunctive",4,"Au","Au=0","Au=0","1",TRUE,"Au=0","FALSE"
"142","1fjolergar","2_c5",1,"50%","80%","50%","10%","job",1,1,1,0,"The presented did not present Feature B","c5","conjunctive",2,"A","A","A=0","2",FALSE,"A=1","TRUE"
"143","1fjolergar","2_d3",1,"50%","80%","50%","10%","group",1,0,1,1,"The first student had had a good morning","d3","disjunctive",7,"Bu","Bu=1","Bu=1","2",TRUE,"B=1","FALSE"
"144","1fjolergar","2_d4",0,"50%","10%","50%","80%","job",1,0,0,1,"The files underlying Feature A were corrupted","d4","disjunctive",4,"Au","Au=0","Au=0","2",TRUE,"B=0","FALSE"
"145","1fjolergar","2_d7",0,"50%","10%","50%","80%","cook",1,1,1,1,"The person wanted to eat the main dish","d7","disjunctive",3,"Au","Au=1","Au=1","2",TRUE,"B=1","FALSE"
"146","1fjolergar","3_c1",1,"80%","50%","10%","70%","group",0,0,0,0,"The first student had not had a good morning","c1","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"A=0","FALSE"
"147","1fjolergar","3_c4",1,"80%","50%","10%","70%","cook",1,1,0,0,"The dessert was on the menu","c4","conjunctive",1,"A","A","A=1","3",TRUE,"Au=0","TRUE"
"148","1fjolergar","3_d1",1,"80%","50%","10%","70%","cook",0,0,0,1,"The person wanted to eat the dessert","d1","disjunctive",3,"Au","Au=1","Au=1","3",TRUE,"A=0","FALSE"
"149","1fjolergar","3_d2",0,"10%","70%","80%","50%","cook",0,1,0,1,"The person wanted to eat the main dish","d2","disjunctive",3,"Au","Au=1","Au=1","3",TRUE,"Bu=0","FALSE"
